email,timestamp,emotion,confidence,model_type,session_id
goku,2025-04-26 13:40:48,angry,0.6517108082771301,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:48,angry,0.6197677850723267,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:48,neutral,0.55556321144104,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:48,neutral,0.55556321144104,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:48,angry,0.6134392023086548,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:48,angry,0.5399017930030823,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:48,angry,0.6067957878112793,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:48,angry,0.5649304389953613,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:48,angry,0.9004942178726196,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.8214010000228882,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.8214010000228882,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.7166368365287781,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,neutral,0.8067491054534912,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.7231674790382385,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.6661457419395447,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,neutral,0.4488201439380646,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.7702135443687439,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.7906471490859985,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.6176291704177856,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.6003074645996094,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.6598426699638367,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:49,angry,0.6598426699638367,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,angry,0.7530242204666138,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,angry,0.8629509806632996,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,angry,0.8228336572647095,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,angry,0.5573680996894836,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,angry,0.9550174474716187,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,neutral,0.6845999956130981,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
goku,2025-04-26 13:40:50,neutral,0.6246210336685181,doctor-patient,a2cd5914-b370-4664-b1b5-81a6f74448a7
